"year"	"month"	"day"	"obs"	"sim"	"alt"	"code"	"lat"	"long"
1999	5	25	5.6	5.2817388	386	1200570	39.839444	-7.4786944
1999	5	26	7.5	9.0079565	386	1200570	39.839444	-7.4786944
1999	5	27	6	7.8646164	386	1200570	39.839444	-7.4786944
1999	5	28	7	8.8940744	386	1200570	39.839444	-7.4786944
1999	5	29	6.4	8.8123684	386	1200570	39.839444	-7.4786944
1999	5	30	3.7	7.2253003	386	1200570	39.839444	-7.4786944
1999	5	31	6.6	6.6539931	386	1200570	39.839444	-7.4786944
1999	6	1	7.1	9.5569801	386	1200570	39.839444	-7.4786944
1999	6	2	4.9	6.7055721	386	1200570	39.839444	-7.4786944
1999	6	3	6.9	7.3001852	386	1200570	39.839444	-7.4786944
1999	6	4	8.9	10.162616	386	1200570	39.839444	-7.4786944
1999	6	5	9	9.9598341	386	1200570	39.839444	-7.4786944
1999	6	6	6.8	9.9477406	386	1200570	39.839444	-7.4786944
1999	6	7	7.3	11.084412	386	1200570	39.839444	-7.4786944
1999	6	8	4.2	9.6079426	386	1200570	39.839444	-7.4786944
1999	6	9	7.1	8.1094723	386	1200570	39.839444	-7.4786944
1999	6	10	4.2	7.0722399	386	1200570	39.839444	-7.4786944
1999	6	11	6.1	8.2540579	386	1200570	39.839444	-7.4786944
1999	6	12	6.8	7.8334603	386	1200570	39.839444	-7.4786944
1999	6	13	6.1	3.7446618	386	1200570	39.839444	-7.4786944
1999	6	14	6.8	8.3551331	386	1200570	39.839444	-7.4786944
1999	6	15	7.3	9.8661518	386	1200570	39.839444	-7.4786944
1999	6	16	8.2	8.0612888	386	1200570	39.839444	-7.4786944
1999	6	17	7.1	8.0908966	386	1200570	39.839444	-7.4786944
1999	6	18	6.4	7.6688876	386	1200570	39.839444	-7.4786944
1999	6	19	5.2	8.6213388	386	1200570	39.839444	-7.4786944
1999	6	20	4.2	8.3554783	386	1200570	39.839444	-7.4786944
1999	6	21	5.5	9.1496334	386	1200570	39.839444	-7.4786944
1999	6	22	5.3	7.7580223	386	1200570	39.839444	-7.4786944
1999	6	23	5	6.4831405	386	1200570	39.839444	-7.4786944
1999	6	24	5	7.9553962	386	1200570	39.839444	-7.4786944
1999	6	25	5.9	7.0679841	386	1200570	39.839444	-7.4786944
1999	6	26	7.4	9.0081215	386	1200570	39.839444	-7.4786944
1999	6	27	8.8	8.0044727	386	1200570	39.839444	-7.4786944
1999	6	28	6.8	9.420537	386	1200570	39.839444	-7.4786944
1999	6	29	6.9	9.5039377	386	1200570	39.839444	-7.4786944
1999	6	30	3.5	8.3286123	386	1200570	39.839444	-7.4786944
1999	7	1	6.1	7.9530306	386	1200570	39.839444	-7.4786944
